ngram,category,total_count,error_count,error_rate
dg,neutral,1,1,1.0
yl,english-dominant,1,1,1.0
tp,neutral,2,2,1.0
zk,german-dominant,1,1,1.0
kf,neutral,2,2,1.0
gz,german-dominant,1,1,1.0
uu,neutral,1,1,1.0
co,english-dominant,2,2,1.0
oe,english-dominant,1,1,1.0
lv,neutral,1,1,1.0
np,neutral,7,7,1.0
rq,neutral,1,1,1.0
db,english-dominant,2,2,1.0
ja,german-dominant,1,1,1.0
bb,neutral,2,2,1.0
zv,german-dominant,1,1,1.0
lm,neutral,3,3,1.0
uz,german-dominant,2,2,1.0
dh,english-dominant,1,1,1.0
zo,german-dominant,2,2,1.0
nr,neutral,1,1,1.0
lh,neutral,1,1,1.0
mg,german-dominant,2,2,1.0
kz,german-dominant,2,2,1.0
mk,german-dominant,2,2,1.0
ai,english-dominant,2,2,1.0
fm,english-dominant,1,1,1.0
uo,neutral,2,2,1.0
gf,neutral,1,1,1.0
sb,neutral,8,7,0.875
dn,neutral,5,4,0.8
td,german-dominant,5,4,0.8
wu,german-dominant,5,4,0.8
nh,neutral,10,8,0.8
ko,german-dominant,22,17,0.7727
uk,german-dominant,17,13,0.7647
md,german-dominant,4,3,0.75
mf,neutral,4,3,0.75
aa,neutral,4,3,0.75
bg,german-dominant,4,3,0.75
av,english-dominant,4,3,0.75
uh,german-dominant,4,3,0.75
oh,neutral,12,9,0.75
zu,german-dominant,56,41,0.7321
ez,german-dominant,22,16,0.7273
rf,neutral,7,5,0.7143
do,english-dominant,7,5,0.7143
xi,neutral,7,5,0.7143
gu,neutral,14,10,0.7143
rz,german-dominant,13,9,0.6923
yt,english-dominant,3,2,0.6667
xp,neutral,3,2,0.6667
vs,neutral,3,2,0.6667
ov,english-dominant,3,2,0.6667
hp,neutral,3,2,0.6667
nv,german-dominant,3,2,0.6667
fw,neutral,3,2,0.6667
ax,neutral,3,2,0.6667
yn,neutral,3,2,0.6667
ct,english-dominant,3,2,0.6667
sr,neutral,3,2,0.6667
sn,neutral,3,2,0.6667
nl,neutral,6,4,0.6667
oj,neutral,3,2,0.6667
bz,german-dominant,3,2,0.6667
cr,english-dominant,3,2,0.6667
fi,neutral,20,13,0.65
mt,neutral,14,9,0.6429
pr,neutral,25,16,0.64
zt,german-dominant,11,7,0.6364
gs,neutral,22,14,0.6364
ff,neutral,22,14,0.6364
ua,neutral,8,5,0.625
po,neutral,24,15,0.625
iz,neutral,8,5,0.625
gt,neutral,24,15,0.625
ik,neutral,32,20,0.625
lg,german-dominant,8,5,0.625
gn,neutral,8,5,0.625
ug,neutral,13,8,0.6154
je,german-dominant,18,11,0.6111
tz,german-dominant,23,14,0.6087
bt,german-dominant,10,6,0.6
tw,neutral,15,9,0.6
dr,neutral,10,6,0.6
za,german-dominant,5,3,0.6
rv,neutral,5,3,0.6
om,neutral,35,21,0.6
yp,neutral,15,9,0.6
fg,neutral,5,3,0.6
sk,neutral,5,3,0.6
ef,neutral,20,12,0.6
oc,neutral,10,6,0.6
lu,neutral,42,25,0.5952
zw,german-dominant,22,13,0.5909
ue,neutral,17,10,0.5882
du,neutral,53,31,0.5849
ek,german-dominant,24,14,0.5833
ex,neutral,12,7,0.5833
hm,neutral,19,11,0.5789
nn,german-dominant,52,30,0.5769
kt,german-dominant,73,42,0.5753
uc,neutral,40,23,0.575
va,neutral,7,4,0.5714
uf,german-dominant,42,24,0.5714
bj,neutral,7,4,0.5714
ck,neutral,23,13,0.5652
ke,neutral,48,27,0.5625
rb,german-dominant,34,19,0.5588
kr,german-dominant,9,5,0.5556
ly,english-dominant,9,5,0.5556
pl,english-dominant,9,5,0.5556
pu,neutral,9,5,0.5556
hu,neutral,18,10,0.5556
ru,german-dominant,81,45,0.5556
pa,neutral,11,6,0.5455
bi,neutral,22,12,0.5455
ga,neutral,22,12,0.5455
ee,neutral,11,6,0.5455
im,neutral,44,24,0.5455
rl,neutral,11,6,0.5455
vo,german-dominant,57,31,0.5439
ol,neutral,48,26,0.5417
eh,neutral,74,40,0.5405
zi,german-dominant,39,21,0.5385
mu,neutral,13,7,0.5385
ec,english-dominant,28,15,0.5357
fe,neutral,45,24,0.5333
ad,english-dominant,15,8,0.5333
au,german-dominant,94,50,0.5319
hl,german-dominant,34,18,0.5294
ew,neutral,19,10,0.5263
