ngram,category,total_count,error_count,error_rate
zv,german-dominant,1,1,1.0
oj,neutral,1,1,1.0
kj,english-dominant,1,1,1.0
wd,english-dominant,1,1,1.0
xf,english-dominant,1,1,1.0
vy,english-dominant,1,1,1.0
gf,neutral,1,1,1.0
uz,german-dominant,1,1,1.0
lr,english-dominant,3,3,1.0
ka,german-dominant,3,3,1.0
lb,neutral,3,3,1.0
ej,neutral,1,1,1.0
uo,neutral,2,2,1.0
kf,neutral,1,1,1.0
dk,neutral,1,1,1.0
cs,english-dominant,1,1,1.0
mv,german-dominant,1,1,1.0
pn,english-dominant,1,1,1.0
hb,neutral,1,1,1.0
sd,neutral,1,1,1.0
ek,german-dominant,6,6,1.0
nj,neutral,4,3,0.75
bb,neutral,4,3,0.75
aw,english-dominant,19,13,0.6842
ao,english-dominant,3,2,0.6667
bt,german-dominant,3,2,0.6667
pm,english-dominant,3,2,0.6667
sn,neutral,5,3,0.6
hl,german-dominant,5,3,0.6
eu,german-dominant,5,3,0.6
wn,english-dominant,44,26,0.5909
ub,neutral,17,10,0.5882
ya,english-dominant,7,4,0.5714
wr,english-dominant,14,8,0.5714
ew,neutral,32,18,0.5625
cy,english-dominant,9,5,0.5556
gn,neutral,13,7,0.5385
yi,english-dominant,13,7,0.5385
sy,neutral,17,9,0.5294
ak,neutral,36,19,0.5278
hs,neutral,4,2,0.5
du,neutral,22,11,0.5
ux,english-dominant,4,2,0.5
sq,english-dominant,2,1,0.5
uv,neutral,2,1,0.5
sf,neutral,2,1,0.5
rh,neutral,2,1,0.5
yp,neutral,6,3,0.5
wl,english-dominant,4,2,0.5
fs,neutral,2,1,0.5
ml,neutral,2,1,0.5
ez,german-dominant,2,1,0.5
bv,neutral,4,2,0.5
sg,neutral,2,1,0.5
fu,neutral,16,8,0.5
rf,neutral,8,4,0.5
db,english-dominant,2,1,0.5
yb,english-dominant,4,2,0.5
xc,english-dominant,8,4,0.5
jo,english-dominant,8,4,0.5
oi,english-dominant,23,11,0.4783
cc,english-dominant,19,9,0.4737
ay,english-dominant,76,36,0.4737
gu,neutral,19,9,0.4737
ye,english-dominant,36,17,0.4722
ny,english-dominant,30,14,0.4667
ki,neutral,28,13,0.4643
ry,english-dominant,78,36,0.4615
va,neutral,24,11,0.4583
yo,english-dominant,53,24,0.4528
oy,english-dominant,16,7,0.4375
ev,neutral,69,30,0.4348
lm,neutral,7,3,0.4286
ok,neutral,26,11,0.4231
av,english-dominant,78,33,0.4231
rl,neutral,31,13,0.4194
nm,neutral,12,5,0.4167
rr,neutral,36,15,0.4167
kn,english-dominant,17,7,0.4118
ru,german-dominant,25,10,0.4
xi,neutral,5,2,0.4
dn,neutral,5,2,0.4
eq,neutral,5,2,0.4
xa,english-dominant,5,2,0.4
oc,neutral,40,16,0.4
lf,neutral,20,8,0.4
tl,neutral,28,11,0.3929
ud,neutral,23,9,0.3913
rk,german-dominant,23,9,0.3913
sm,neutral,18,7,0.3889
sl,neutral,18,7,0.3889
vo,german-dominant,13,5,0.3846
nl,neutral,26,10,0.3846
ou,english-dominant,352,135,0.3835
lt,neutral,29,11,0.3793
bo,english-dominant,69,26,0.3768
ug,neutral,72,27,0.375
tc,english-dominant,16,6,0.375
yw,english-dominant,8,3,0.375
nb,neutral,8,3,0.375
hy,neutral,16,6,0.375
ff,neutral,51,19,0.3725
ov,english-dominant,65,24,0.3692
dv,neutral,11,4,0.3636
go,english-dominant,42,15,0.3571
ec,english-dominant,98,35,0.3571
gs,neutral,14,5,0.3571
ua,neutral,28,10,0.3571
mu,neutral,28,10,0.3571
ia,neutral,70,25,0.3571
tu,neutral,62,22,0.3548
sc,german-dominant,48,17,0.3542
by,english-dominant,48,17,0.3542
gr,neutral,51,18,0.3529
sk,neutral,17,6,0.3529
lo,english-dominant,97,34,0.3505
if,neutral,40,14,0.35
sh,english-dominant,126,44,0.3492
rm,neutral,46,16,0.3478
cu,english-dominant,46,16,0.3478
mo,neutral,95,33,0.3474
dr,neutral,26,9,0.3462
ds,neutral,26,9,0.3462
gh,english-dominant,107,37,0.3458
ci,english-dominant,67,23,0.3433
cr,english-dominant,50,17,0.34
na,neutral,68,23,0.3382
ke,neutral,74,25,0.3378
wh,english-dominant,116,39,0.3362
fo,english-dominant,146,49,0.3356
yr,english-dominant,3,1,0.3333
bs,german-dominant,6,2,0.3333
rb,german-dominant,12,4,0.3333
au,german-dominant,27,9,0.3333
kl,german-dominant,3,1,0.3333
fe,neutral,69,23,0.3333
az,neutral,3,1,0.3333
ik,neutral,12,4,0.3333
eb,neutral,3,1,0.3333
ue,neutral,21,7,0.3333
no,english-dominant,132,44,0.3333
ps,english-dominant,15,5,0.3333
ui,english-dominant,24,8,0.3333
zi,german-dominant,3,1,0.3333
cl,english-dominant,36,12,0.3333
tf,neutral,3,1,0.3333
lg,german-dominant,3,1,0.3333
tt,neutral,54,18,0.3333
ju,neutral,9,3,0.3333
ws,english-dominant,9,3,0.3333
hu,neutral,24,8,0.3333
fy,english-dominant,3,1,0.3333
la,neutral,160,53,0.3312
co,english-dominant,179,59,0.3296
fi,neutral,88,29,0.3295
vi,neutral,76,25,0.3289
ct,english-dominant,95,31,0.3263
ck,neutral,40,13,0.325
ey,english-dominant,68,22,0.3235
ga,neutral,34,11,0.3235
ro,neutral,211,68,0.3223
fa,neutral,56,18,0.3214
nn,german-dominant,28,9,0.3214
ow,english-dominant,112,36,0.3214
fr,neutral,66,21,0.3182
ta,neutral,151,48,0.3179
fl,neutral,19,6,0.3158
ar,neutral,322,101,0.3137
ef,neutral,48,15,0.3125
su,neutral,71,22,0.3099
am,neutral,84,26,0.3095
ht,neutral,65,20,0.3077
my,english-dominant,13,4,0.3077
ho,english-dominant,182,56,0.3077
rc,neutral,26,8,0.3077
dl,neutral,13,4,0.3077
ms,neutral,23,7,0.3043
af,neutral,23,7,0.3043
mm,neutral,23,7,0.3043
nu,german-dominant,23,7,0.3043
rd,neutral,66,20,0.303
ks,neutral,20,6,0.3
mb,neutral,30,9,0.3
ym,english-dominant,10,3,0.3
od,neutral,57,17,0.2982
iv,neutral,71,21,0.2958
ic,neutral,176,52,0.2955
ca,english-dominant,112,33,0.2946
hi,english-dominant,245,72,0.2939
of,english-dominant,318,93,0.2925
oa,english-dominant,24,7,0.2917
et,neutral,124,36,0.2903
th,english-dominant,1032,298,0.2888
ir,neutral,87,25,0.2874
tm,neutral,7,2,0.2857
uc,neutral,42,12,0.2857
gy,english-dominant,7,2,0.2857
nv,german-dominant,7,2,0.2857
ut,neutral,126,36,0.2857
ai,english-dominant,124,35,0.2823
os,neutral,78,22,0.2821
po,neutral,89,25,0.2809
ni,neutral,89,25,0.2809
hr,german-dominant,25,7,0.28
bi,neutral,25,7,0.28
om,neutral,180,50,0.2778
br,neutral,36,10,0.2778
id,neutral,83,23,0.2771
an,neutral,580,160,0.2759
gl,neutral,29,8,0.2759
ce,english-dominant,185,51,0.2757
wa,neutral,128,35,0.2734
oe,english-dominant,11,3,0.2727
oo,english-dominant,88,24,0.2727
nc,english-dominant,103,28,0.2718
rn,neutral,52,14,0.2692
pa,neutral,93,25,0.2688
ns,neutral,131,35,0.2672
ee,neutral,135,36,0.2667
ma,neutral,154,41,0.2662
so,neutral,124,33,0.2661
is,neutral,346,92,0.2659
nt,neutral,279,74,0.2652
wi,neutral,132,35,0.2652
lu,neutral,19,5,0.2632
nf,neutral,23,6,0.2609
ti,neutral,300,78,0.26
un,german-dominant,135,35,0.2593
at,neutral,437,113,0.2586
on,neutral,437,113,0.2586
ly,english-dominant,155,40,0.2581
io,neutral,163,42,0.2577
es,neutral,370,95,0.2568
il,neutral,148,38,0.2568
ba,neutral,39,10,0.2564
ur,neutral,168,43,0.256
te,neutral,297,76,0.2559
re,neutral,525,134,0.2552
da,neutral,51,13,0.2549
or,neutral,350,89,0.2543
ri,neutral,197,50,0.2538
st,neutral,280,71,0.2536
ae,neutral,4,1,0.25
it,neutral,320,80,0.25
rw,neutral,8,2,0.25
rg,neutral,28,7,0.25
je,german-dominant,8,2,0.25
gg,neutral,8,2,0.25
ky,english-dominant,4,1,0.25
iu,neutral,8,2,0.25
ep,neutral,36,9,0.25
uk,german-dominant,4,1,0.25
to,english-dominant,385,96,0.2494
as,neutral,278,68,0.2446
se,neutral,274,67,0.2445
rt,neutral,103,25,0.2427
ha,neutral,359,87,0.2423
em,neutral,116,28,0.2414
ne,neutral,205,49,0.239
ib,neutral,21,5,0.2381
tw,neutral,21,5,0.2381
us,neutral,126,30,0.2381
nk,german-dominant,21,5,0.2381
ty,english-dominant,42,10,0.2381
sa,neutral,76,18,0.2368
ys,neutral,17,4,0.2353
ag,neutral,60,14,0.2333
sp,neutral,43,10,0.2326
li,neutral,168,39,0.2321
er,neutral,600,139,0.2317
dd,neutral,13,3,0.2308
rv,neutral,13,3,0.2308
pl,english-dominant,87,20,0.2299
ft,neutral,35,8,0.2286
ap,english-dominant,57,13,0.2281
el,neutral,136,31,0.2279
ra,neutral,180,41,0.2278
pi,neutral,44,10,0.2273
ea,english-dominant,229,52,0.2271
we,neutral,106,24,0.2264
mp,neutral,84,19,0.2262
ls,neutral,31,7,0.2258
me,neutral,244,55,0.2254
di,neutral,129,29,0.2248
ad,english-dominant,156,35,0.2244
ac,neutral,116,26,0.2241
ab,neutral,72,16,0.2222
im,neutral,108,24,0.2222
qu,neutral,27,6,0.2222
hn,german-dominant,9,2,0.2222
ve,neutral,253,56,0.2213
bu,neutral,59,13,0.2203
mi,neutral,96,21,0.2188
pr,neutral,101,22,0.2178
ul,english-dominant,102,22,0.2157
al,neutral,255,55,0.2157
sw,neutral,14,3,0.2143
ld,neutral,89,19,0.2135
si,neutral,118,25,0.2119
ts,neutral,85,18,0.2118
gi,neutral,38,8,0.2105
pe,neutral,119,25,0.2101
ch,german-dominant,162,34,0.2099
pp,neutral,48,10,0.2083
do,english-dominant,53,11,0.2075
en,german-dominant,425,88,0.2071
ig,neutral,87,18,0.2069
eo,english-dominant,29,6,0.2069
nd,neutral,391,80,0.2046
ob,neutral,30,6,0.2
nw,neutral,5,1,0.2
yt,english-dominant,5,1,0.2
lv,neutral,5,1,0.2
eg,neutral,20,4,0.2
