ngram,category,total_count,error_count,error_rate
oto,neutral,1,1,1.0
tuc,english-dominant,1,1,1.0
alp,english-dominant,1,1,1.0
yet,english-dominant,1,1,1.0
pav,english-dominant,1,1,1.0
unk,german-dominant,2,2,1.0
lmu,neutral,1,1,1.0
nas,english-dominant,1,1,1.0
ybu,english-dominant,1,1,1.0
ebo,neutral,1,1,1.0
eeb,neutral,1,1,1.0
obi,neutral,1,1,1.0
mob,neutral,1,1,1.0
ibu,german-dominant,1,1,1.0
yee,english-dominant,1,1,1.0
oye,english-dominant,1,1,1.0
epo,neutral,1,1,1.0
icl,english-dominant,3,3,1.0
lap,english-dominant,2,2,1.0
ldl,english-dominant,1,1,1.0
pet,english-dominant,1,1,1.0
iod,neutral,1,1,1.0
xci,english-dominant,2,2,1.0
vie,german-dominant,5,5,1.0
rlo,neutral,1,1,1.0
hev,neutral,1,1,1.0
shc,english-dominant,1,1,1.0
zvo,german-dominant,1,1,1.0
ezv,english-dominant,1,1,1.0
dez,german-dominant,1,1,1.0
chr,german-dominant,1,1,1.0
rls,english-dominant,1,1,1.0
egr,neutral,1,1,1.0
hts,german-dominant,1,1,1.0
eps,english-dominant,1,1,1.0
tep,neutral,1,1,1.0
hon,neutral,2,2,1.0
mud,english-dominant,2,2,1.0
esk,german-dominant,1,1,1.0
ywr,english-dominant,1,1,1.0
ayw,english-dominant,1,1,1.0
cce,english-dominant,3,3,1.0
ucc,english-dominant,3,3,1.0
aor,english-dominant,1,1,1.0
rao,english-dominant,1,1,1.0
ptu,neutral,1,1,1.0
uda,neutral,1,1,1.0
pag,neutral,1,1,1.0
uic,english-dominant,1,1,1.0
wni,english-dominant,1,1,1.0
paw,english-dominant,1,1,1.0
tum,german-dominant,1,1,1.0
tfi,neutral,1,1,1.0
sfa,neutral,1,1,1.0
isf,english-dominant,1,1,1.0
uns,german-dominant,1,1,1.0
nno,neutral,1,1,1.0
njo,english-dominant,3,3,1.0
enj,neutral,3,3,1.0
ono,english-dominant,2,2,1.0
bby,english-dominant,1,1,1.0
abb,neutral,1,1,1.0
spl,neutral,1,1,1.0
sro,english-dominant,1,1,1.0
tsh,english-dominant,1,1,1.0
klo,neutral,1,1,1.0
lkl,neutral,1,1,1.0
mva,neutral,1,1,1.0
