prediction,ground_truth,diff_ops,error_ngrams
government bi the Duke of Wellington.,government by the Duke of Wellington .,"[('replace', 12, 13, 12, 13), ('insert', 36, 36, 36, 37)]","[(('by', 'english-dominant'), 1)]"
agieement on tlie necessity of maiutaiuing Tie rigluts aud,agreement on the necessity of maintaining the rights and,"[('replace', 2, 3, 2, 3), ('replace', 14, 16, 14, 15), ('replace', 34, 35, 33, 34), ('replace', 38, 39, 37, 38), ('replace', 43, 45, 42, 44), ('replace', 50, 52, 49, 50), ('replace', 56, 57, 54, 55)]","[(('gr', 'neutral'), 1), (('re', 'neutral'), 1), (('th', 'english-dominant'), 2), (('he', 'neutral'), 2), (('nt', 'neutral'), 1), (('ta', 'neutral'), 1), (('ni', 'neutral'), 1), (('in', 'neutral'), 1), (('ht', 'neutral'), 1), (('ts', 'neutral'), 1)]"
"ampanien. Gem waut mu to talk, is Khat it?","companion . "" You want me to talk , is that it ? ""","[('replace', 0, 1, 0, 2), ('replace', 6, 7, 7, 8), ('insert', 8, 8, 9, 10), ('replace', 10, 13, 12, 17), ('replace', 16, 17, 20, 21), ('replace', 20, 21, 24, 25), ('insert', 29, 29, 33, 34), ('replace', 34, 35, 39, 40), ('insert', 41, 41, 46, 47), ('insert', 42, 42, 48, 50)]","[(('co', 'english-dominant'), 1), (('ni', 'neutral'), 1), (('io', 'neutral'), 1), (('on', 'neutral'), 1), (('ou', 'english-dominant'), 1), (('an', 'neutral'), 1), (('nt', 'neutral'), 1), (('ha', 'neutral'), 1), (('at', 'neutral'), 1)]"
blown up. He has wow Vevealed his full plans,blown up . He has now revealed his full plans,"[('insert', 8, 8, 8, 9), ('replace', 17, 18, 18, 19), ('replace', 21, 22, 22, 23)]",[]
an homower degne Gowese. Forwirg ir Blitain´s,an honours degree course . Farming is Britain's,"[('replace', 5, 6, 5, 6), ('replace', 7, 9, 7, 8), ('insert', 10, 10, 9, 10), ('replace', 14, 15, 14, 16), ('replace', 17, 18, 18, 19), ('replace', 19, 21, 20, 22), ('insert', 23, 23, 24, 25), ('replace', 26, 27, 28, 29), ('replace', 28, 29, 30, 31), ('replace', 30, 31, 32, 33), ('replace', 34, 35, 36, 37), ('replace', 37, 38, 39, 40), ('replace', 43, 44, 45, 46)]","[(('on', 'neutral'), 1), (('no', 'english-dominant'), 1), (('ou', 'english-dominant'), 2), (('ur', 'neutral'), 2), (('rs', 'neutral'), 1), (('gr', 'neutral'), 1), (('re', 'neutral'), 1), (('co', 'english-dominant'), 1), (('se', 'neutral'), 1), (('ar', 'neutral'), 1), (('rm', 'neutral'), 1), (('mi', 'neutral'), 1), (('ai', 'english-dominant'), 1), (('in', 'neutral'), 1)]"
German flm. 1ost charmüng vos his tanque- in -check,German film . Most charming was his tongue-in-cheek,"[('insert', 8, 8, 8, 9), ('insert', 10, 10, 11, 12), ('replace', 12, 13, 14, 15), ('replace', 22, 23, 24, 25), ('replace', 26, 28, 28, 30), ('replace', 35, 36, 37, 38), ('replace', 37, 38, 39, 40), ('delete', 41, 42, 43, 43), ('delete', 44, 45, 45, 45), ('replace', 49, 50, 49, 50)]","[(('fi', 'neutral'), 1), (('lm', 'neutral'), 1), (('ar', 'neutral'), 1), (('rm', 'neutral'), 1), (('ng', 'neutral'), 1), (('to', 'english-dominant'), 1), (('on', 'neutral'), 1), (('ue', 'neutral'), 1), (('in', 'neutral'), 1), (('ee', 'neutral'), 1), (('ek', 'german-dominant'), 1)]"
"arhoulaien is uniled, we aue 1old, toa","articulation is limited , we are told , to a","[('replace', 2, 4, 2, 5), ('insert', 7, 7, 8, 9), ('replace', 8, 9, 10, 11), ('replace', 14, 16, 16, 17), ('replace', 17, 18, 18, 21), ('insert', 20, 20, 23, 24), ('replace', 26, 27, 30, 31), ('replace', 29, 30, 33, 34), ('insert', 33, 33, 37, 38), ('insert', 37, 37, 42, 43)]","[(('rt', 'neutral'), 1), (('ti', 'neutral'), 2), (('ic', 'neutral'), 1), (('la', 'neutral'), 1), (('at', 'neutral'), 1), (('is', 'neutral'), 1), (('li', 'neutral'), 1), (('im', 'neutral'), 1), (('it', 'neutral'), 1), (('we', 'neutral'), 1), (('ar', 'neutral'), 1)]"
and wrote to Lady Byron after diehao,and wrote to Lady Byron after she had,"[('replace', 30, 32, 30, 32), ('insert', 33, 33, 33, 34), ('replace', 35, 36, 36, 37)]","[(('sh', 'english-dominant'), 1), (('he', 'neutral'), 1), (('ha', 'neutral'), 1), (('ad', 'english-dominant'), 1)]"
Eren trat ox Afne aulturol Oife2 Died Aerin per -,Then what of the cultural life ? Did this per-,"[('replace', 0, 2, 0, 2), ('replace', 5, 7, 5, 7), ('replace', 11, 12, 11, 12), ('replace', 13, 16, 13, 15), ('replace', 18, 19, 17, 18), ('replace', 24, 25, 23, 24), ('replace', 27, 28, 26, 27), ('replace', 31, 32, 30, 32), ('delete', 35, 36, 35, 35), ('replace', 38, 41, 37, 39), ('replace', 42, 43, 40, 41), ('delete', 47, 48, 45, 45)]","[(('he', 'neutral'), 2), (('wh', 'english-dominant'), 1), (('ha', 'neutral'), 1), (('of', 'english-dominant'), 1), (('th', 'english-dominant'), 2), (('cu', 'english-dominant'), 1), (('ul', 'english-dominant'), 1), (('al', 'neutral'), 1), (('li', 'neutral'), 1), (('if', 'neutral'), 1), (('id', 'neutral'), 1), (('hi', 'english-dominant'), 1), (('is', 'neutral'), 1), (('pe', 'neutral'), 1)]"
anything Arom Hhe sShike and the aher O0per,anything from the strike and the other 80 per,"[('replace', 9, 10, 9, 10), ('replace', 14, 15, 14, 15), ('replace', 19, 21, 19, 21), ('replace', 33, 34, 33, 35), ('replace', 38, 39, 39, 40), ('insert', 40, 40, 41, 42)]","[(('fr', 'neutral'), 1), (('th', 'english-dominant'), 1), (('st', 'neutral'), 1), (('tr', 'neutral'), 1), (('ri', 'neutral'), 1), (('ot', 'english-dominant'), 1)]"
to know. But thr fart vimains that git,to know . But the fact remains that get,"[('insert', 7, 7, 7, 8), ('replace', 15, 16, 16, 17), ('replace', 19, 20, 20, 21), ('replace', 22, 24, 23, 25), ('replace', 36, 37, 37, 38)]","[(('th', 'english-dominant'), 1), (('he', 'neutral'), 1), (('fa', 'neutral'), 1), (('ac', 'neutral'), 1), (('re', 'neutral'), 1), (('ge', 'german-dominant'), 1)]"
Thexre bound to want pretty solid neu evidence,' They 're bound to want pretty solid new evidence,"[('insert', 0, 0, 0, 2), ('replace', 3, 4, 5, 8), ('replace', 36, 37, 40, 41)]","[(('he', 'neutral'), 1), (('id', 'neutral'), 1)]"
fcnmel tacks at Laucastes Hamse win,Informal talks at Lancaster House will,"[('insert', 0, 0, 0, 2), ('replace', 1, 3, 3, 5), ('replace', 4, 5, 6, 7), ('replace', 9, 10, 11, 12), ('replace', 18, 19, 20, 21), ('replace', 24, 25, 26, 27), ('replace', 27, 29, 29, 31), ('replace', 34, 35, 36, 38)]","[(('nf', 'neutral'), 1), (('fo', 'english-dominant'), 1), (('or', 'neutral'), 1), (('rm', 'neutral'), 1), (('ta', 'neutral'), 1), (('st', 'neutral'), 1), (('te', 'neutral'), 1), (('wi', 'neutral'), 1)]"
"says it is inevitable, thovgh profoundly","says it is inevitable , though profoundly","[('insert', 21, 21, 21, 22), ('replace', 26, 27, 27, 28)]","[(('ho', 'english-dominant'), 1), (('ou', 'english-dominant'), 1)]"
namen - bt remäned Kheir nervaut. They had,names - but remained their servant . They had,"[('replace', 4, 5, 4, 5), ('insert', 9, 9, 9, 10), ('replace', 14, 15, 15, 17), ('replace', 19, 20, 21, 22), ('replace', 25, 26, 27, 28), ('replace', 30, 31, 32, 33), ('insert', 32, 32, 34, 35)]","[(('es', 'neutral'), 1), (('bu', 'neutral'), 1), (('em', 'neutral'), 1), (('ma', 'neutral'), 1), (('ed', 'neutral'), 1), (('ir', 'neutral'), 1), (('rv', 'neutral'), 1), (('va', 'neutral'), 1), (('an', 'neutral'), 1)]"
Au grond er voncretl Hor . I,the ground or concrete floor . I,"[('replace', 0, 2, 0, 3), ('insert', 6, 6, 7, 8), ('replace', 9, 10, 11, 12), ('replace', 12, 13, 14, 15), ('insert', 19, 19, 21, 24), ('replace', 20, 22, 25, 26)]","[(('th', 'english-dominant'), 1), (('he', 'neutral'), 1), (('ro', 'neutral'), 1), (('nd', 'neutral'), 1), (('or', 'neutral'), 1), (('re', 'neutral'), 1), (('et', 'neutral'), 1), (('te', 'neutral'), 1)]"
jood beginieg made dt Vicuug ust be,good beginning made at Vienna must be,"[('replace', 0, 1, 0, 1), ('insert', 10, 10, 10, 11), ('replace', 11, 12, 12, 13), ('replace', 19, 20, 20, 21), ('replace', 24, 28, 25, 29), ('insert', 29, 29, 30, 31)]","[(('go', 'english-dominant'), 1), (('nn', 'german-dominant'), 2), (('ni', 'neutral'), 1), (('in', 'neutral'), 1), (('ie', 'german-dominant'), 1), (('en', 'german-dominant'), 1), (('na', 'neutral'), 1)]"
Iurbot und to haue ban umch mowe interested in 1he,turbot and to have been much more interested in the,"[('replace', 0, 1, 0, 1), ('replace', 7, 8, 7, 8), ('replace', 16, 17, 16, 17), ('replace', 20, 21, 20, 22), ('insert', 23, 23, 24, 25), ('delete', 24, 25, 26, 26), ('replace', 30, 31, 31, 32), ('replace', 47, 48, 48, 49)]","[(('tu', 'neutral'), 1), (('an', 'neutral'), 1), (('av', 'english-dominant'), 1), (('ve', 'neutral'), 1), (('be', 'neutral'), 1), (('ee', 'neutral'), 1), (('mu', 'neutral'), 1), (('mo', 'neutral'), 1), (('or', 'neutral'), 1)]"
fascihating behoviour mysteries are peculiar,fascinating behaviour mysteries are peculiar,"[('replace', 5, 6, 5, 6), ('replace', 15, 16, 15, 16)]","[(('in', 'neutral'), 1), (('na', 'neutral'), 1), (('ha', 'neutral'), 1), (('av', 'english-dominant'), 1)]"
"gift of uaompamenekip and Sugrunpatlug - "" gu nud","gift of companionship and sympathy - "" you need","[('replace', 8, 10, 8, 9), ('delete', 14, 16, 13, 13), ('replace', 17, 19, 14, 19), ('replace', 26, 32, 26, 29), ('replace', 35, 38, 32, 34), ('replace', 43, 44, 39, 41), ('replace', 47, 48, 44, 46)]","[(('co', 'english-dominant'), 1), (('om', 'neutral'), 1), (('ni', 'neutral'), 1), (('io', 'neutral'), 1), (('on', 'neutral'), 1), (('ns', 'neutral'), 1), (('sh', 'english-dominant'), 1), (('hi', 'english-dominant'), 1), (('sy', 'neutral'), 1), (('ym', 'english-dominant'), 1), (('mp', 'neutral'), 1), (('pa', 'neutral'), 1), (('at', 'neutral'), 1), (('th', 'english-dominant'), 1), (('ne', 'neutral'), 1)]"
mignation is suficenty mell,migration is sufficiently well,"[('replace', 3, 4, 3, 4), ('insert', 16, 16, 16, 17), ('insert', 18, 18, 19, 20), ('insert', 21, 21, 23, 24), ('replace', 23, 24, 26, 27)]","[(('gr', 'neutral'), 1), (('ra', 'neutral'), 1), (('ff', 'neutral'), 1), (('ic', 'neutral'), 1), (('en', 'german-dominant'), 1), (('tl', 'neutral'), 1), (('ly', 'english-dominant'), 1)]"
slightest effed.,slightest effect .,"[('replace', 14, 15, 14, 17)]","[(('ec', 'english-dominant'), 1), (('ct', 'english-dominant'), 1)]"
Over-emphoizing Hem. Laet nicht s Pla,over-emphasizing them . Last night's play,"[('replace', 0, 1, 0, 1), ('replace', 9, 10, 9, 11), ('replace', 16, 17, 17, 19), ('insert', 19, 19, 21, 22), ('replace', 23, 24, 26, 27), ('replace', 28, 29, 31, 32), ('replace', 31, 32, 34, 35), ('replace', 34, 35, 37, 38), ('insert', 37, 37, 40, 41)]","[(('ov', 'english-dominant'), 1), (('ha', 'neutral'), 1), (('as', 'neutral'), 1), (('he', 'neutral'), 1), (('ig', 'neutral'), 1), (('gh', 'english-dominant'), 1)]"
