prediction,ground_truth,diff_ops,error_ngrams
government bi the Duke of Wellington.,government by the Duke of Wellington .,"[('replace', 12, 13, 12, 13), ('insert', 36, 36, 36, 37)]",[]
agieement on tlie necessity of maiutaiuing Tie rigluts aud,agreement on the necessity of maintaining the rights and,"[('replace', 2, 3, 2, 3), ('replace', 14, 16, 14, 15), ('replace', 34, 35, 33, 34), ('replace', 38, 39, 37, 38), ('replace', 43, 45, 42, 44), ('replace', 50, 52, 49, 50), ('replace', 56, 57, 54, 55)]","[(('agr', 'english-dominant'), 1), (('gre', 'neutral'), 1), (('ree', 'english-dominant'), 1), (('the', 'english-dominant'), 2), (('int', 'neutral'), 1), (('nta', 'neutral'), 1), (('tai', 'english-dominant'), 1), (('ini', 'neutral'), 1), (('nin', 'neutral'), 1), (('ing', 'english-dominant'), 1), (('ght', 'english-dominant'), 1), (('hts', 'german-dominant'), 1)]"
"ampanien. Gem waut mu to talk, is Khat it?","companion . "" You want me to talk , is that it ? ""","[('replace', 0, 1, 0, 2), ('replace', 6, 7, 7, 8), ('insert', 8, 8, 9, 10), ('replace', 10, 13, 12, 17), ('replace', 16, 17, 20, 21), ('replace', 20, 21, 24, 25), ('insert', 29, 29, 33, 34), ('replace', 34, 35, 39, 40), ('insert', 41, 41, 46, 47), ('insert', 42, 42, 48, 50)]","[(('com', 'english-dominant'), 1), (('ani', 'neutral'), 1), (('nio', 'english-dominant'), 1), (('ion', 'neutral'), 2), (('wan', 'neutral'), 1), (('ant', 'neutral'), 1), (('tha', 'english-dominant'), 1), (('hat', 'english-dominant'), 2)]"
blown up. He has wow Vevealed his full plans,blown up . He has now revealed his full plans,"[('insert', 8, 8, 8, 9), ('replace', 17, 18, 18, 19), ('replace', 21, 22, 22, 23)]",[]
an homower degne Gowese. Forwirg ir Blitain´s,an honours degree course . Farming is Britain's,"[('replace', 5, 6, 5, 6), ('replace', 7, 9, 7, 8), ('insert', 10, 10, 9, 10), ('replace', 14, 15, 14, 16), ('replace', 17, 18, 18, 19), ('replace', 19, 21, 20, 22), ('insert', 23, 23, 24, 25), ('replace', 26, 27, 28, 29), ('replace', 28, 29, 30, 31), ('replace', 30, 31, 32, 33), ('replace', 34, 35, 36, 37), ('replace', 37, 38, 39, 40), ('replace', 43, 44, 45, 46)]","[(('hon', 'neutral'), 1), (('ono', 'english-dominant'), 1), (('nou', 'english-dominant'), 2), (('our', 'english-dominant'), 2), (('urs', 'neutral'), 2), (('egr', 'neutral'), 1), (('gre', 'neutral'), 1), (('ree', 'english-dominant'), 1), (('cou', 'english-dominant'), 1), (('rse', 'neutral'), 1), (('arm', 'neutral'), 2), (('rmi', 'neutral'), 1), (('min', 'neutral'), 1), (('tai', 'english-dominant'), 1), (('ain', 'english-dominant'), 1)]"
German flm. 1ost charmüng vos his tanque- in -check,German film . Most charming was his tongue-in-cheek,"[('insert', 8, 8, 8, 9), ('insert', 10, 10, 11, 12), ('replace', 12, 13, 14, 15), ('replace', 22, 23, 24, 25), ('replace', 26, 28, 28, 30), ('replace', 35, 36, 37, 38), ('replace', 37, 38, 39, 40), ('delete', 41, 42, 43, 43), ('delete', 44, 45, 45, 45), ('replace', 49, 50, 49, 50)]","[(('fil', 'neutral'), 1), (('ilm', 'neutral'), 1), (('har', 'english-dominant'), 1), (('arm', 'neutral'), 1), (('rmi', 'neutral'), 1), (('ing', 'english-dominant'), 1), (('ton', 'english-dominant'), 1), (('ong', 'english-dominant'), 1), (('gue', 'english-dominant'), 1), (('hee', 'english-dominant'), 1), (('eek', 'english-dominant'), 1)]"
"arhoulaien is uniled, we aue 1old, toa","articulation is limited , we are told , to a","[('replace', 2, 4, 2, 5), ('insert', 7, 7, 8, 9), ('replace', 8, 9, 10, 11), ('replace', 14, 16, 16, 17), ('replace', 17, 18, 18, 21), ('insert', 20, 20, 23, 24), ('replace', 26, 27, 30, 31), ('replace', 29, 30, 33, 34), ('insert', 33, 33, 37, 38), ('insert', 37, 37, 42, 43)]","[(('art', 'neutral'), 1), (('rti', 'neutral'), 1), (('tic', 'english-dominant'), 1), (('icu', 'english-dominant'), 1), (('ula', 'neutral'), 1), (('lat', 'neutral'), 2), (('ati', 'neutral'), 1), (('tio', 'neutral'), 1), (('lim', 'neutral'), 1), (('imi', 'neutral'), 1), (('mit', 'german-dominant'), 1), (('ite', 'neutral'), 1), (('are', 'english-dominant'), 1)]"
and wrote to Lady Byron after diehao,and wrote to Lady Byron after she had,"[('replace', 30, 32, 30, 32), ('insert', 33, 33, 33, 34), ('replace', 35, 36, 36, 37)]","[(('she', 'english-dominant'), 1), (('had', 'english-dominant'), 1)]"
Eren trat ox Afne aulturol Oife2 Died Aerin per -,Then what of the cultural life ? Did this per-,"[('replace', 0, 2, 0, 2), ('replace', 5, 7, 5, 7), ('replace', 11, 12, 11, 12), ('replace', 13, 16, 13, 15), ('replace', 18, 19, 17, 18), ('replace', 24, 25, 23, 24), ('replace', 27, 28, 26, 27), ('replace', 31, 32, 30, 32), ('delete', 35, 36, 35, 35), ('replace', 38, 41, 37, 39), ('replace', 42, 43, 40, 41), ('delete', 47, 48, 45, 45)]","[(('hen', 'neutral'), 1), (('wha', 'english-dominant'), 1), (('hat', 'english-dominant'), 1), (('the', 'english-dominant'), 1), (('cul', 'english-dominant'), 1), (('ult', 'neutral'), 1), (('ral', 'neutral'), 1), (('lif', 'english-dominant'), 1), (('ife', 'english-dominant'), 1), (('thi', 'english-dominant'), 1), (('his', 'english-dominant'), 1), (('per', 'neutral'), 1)]"
anything Arom Hhe sShike and the aher O0per,anything from the strike and the other 80 per,"[('replace', 9, 10, 9, 10), ('replace', 14, 15, 14, 15), ('replace', 19, 21, 19, 21), ('replace', 33, 34, 33, 35), ('replace', 38, 39, 39, 40), ('insert', 40, 40, 41, 42)]","[(('fro', 'english-dominant'), 1), (('the', 'english-dominant'), 1), (('str', 'neutral'), 1), (('tri', 'neutral'), 1), (('rik', 'german-dominant'), 1), (('oth', 'english-dominant'), 1)]"
