ngram,category,total_count,error_count,error_rate
by,english-dominant,2,2,1.0
gr,neutral,2,2,1.0
ic,neutral,1,1,1.0
kt,german-dominant,1,1,1.0
dr,neutral,1,1,1.0
tl,neutral,1,1,1.0
eu,german-dominant,2,2,1.0
ss,neutral,1,1,1.0
te,neutral,2,2,1.0
ec,english-dominant,1,1,1.0
ct,english-dominant,1,1,1.0
ne,neutral,1,1,1.0
po,neutral,1,1,1.0
pp,neutral,1,1,1.0
ff,neutral,1,1,1.0
ef,neutral,1,1,1.0
fe,neutral,1,1,1.0
un,german-dominant,2,2,1.0
sa,neutral,1,1,1.0
gu,neutral,1,1,1.0
es,neutral,1,1,1.0
re,neutral,4,3,0.75
rt,neutral,3,2,0.6667
rm,neutral,3,2,0.6667
at,neutral,3,2,0.6667
ch,german-dominant,2,1,0.5
hr,german-dominant,2,1,0.5
äh,german-dominant,2,1,0.5
fä,german-dominant,2,1,0.5
ha,neutral,2,1,0.5
ob,neutral,2,1,0.5
or,neutral,2,1,0.5
nk,german-dominant,2,1,0.5
mi,neutral,2,1,0.5
co,english-dominant,2,1,0.5
ar,neutral,2,1,0.5
he,neutral,4,2,0.5
ai,english-dominant,2,1,0.5
se,neutral,2,1,0.5
au,german-dominant,3,1,0.3333
uf,german-dominant,3,1,0.3333
ut,neutral,6,2,0.3333
th,english-dominant,6,2,0.3333
li,neutral,3,1,0.3333
on,neutral,7,2,0.2857
no,english-dominant,4,1,0.25
ou,english-dominant,4,1,0.25
me,neutral,4,1,0.25
en,german-dominant,4,1,0.25
rs,neutral,4,1,0.25
ur,neutral,4,1,0.25
er,neutral,6,1,0.1667
de,german-dominant,6,1,0.1667
to,english-dominant,6,1,0.1667
in,neutral,9,1,0.1111
up,neutral,2,0,0.0
wn,english-dominant,1,0,0.0
ee,neutral,2,0,0.0
is,neutral,4,0,0.0
ow,english-dominant,3,0,0.0
lo,english-dominant,1,0,0.0
bl,neutral,1,0,0.0
ta,neutral,2,0,0.0
it,neutral,2,0,0.0
ri,neutral,3,0,0.0
nt,neutral,2,0,0.0
nm,neutral,2,0,0.0
ve,neutral,3,0,0.0
uk,german-dominant,2,0,0.0
ke,neutral,2,0,0.0
go,english-dominant,2,0,0.0
rn,neutral,2,0,0.0
ov,english-dominant,2,0,0.0
el,neutral,2,0,0.0
of,english-dominant,2,0,0.0
ng,neutral,5,0,0.0
gt,neutral,2,0,0.0
ho,english-dominant,2,0,0.0
an,neutral,4,0,0.0
eg,neutral,3,0,0.0
ll,neutral,3,0,0.0
ks,neutral,1,0,0.0
im,neutral,1,0,0.0
fo,english-dominant,1,0,0.0
su,neutral,1,0,0.0
al,neutral,2,0,0.0
as,neutral,3,0,0.0
ev,neutral,1,0,0.0
ea,english-dominant,1,0,0.0
hi,english-dominant,3,0,0.0
ed,neutral,1,0,0.0
le,neutral,1,0,0.0
fu,neutral,1,0,0.0
la,neutral,2,0,0.0
pl,english-dominant,1,0,0.0
ul,english-dominant,1,0,0.0
ns,neutral,1,0,0.0
ie,german-dominant,1,0,0.0
ba,neutral,2,0,0.0
ah,german-dominant,2,0,0.0
hn,german-dominant,2,0,0.0
nd,neutral,2,0,0.0
ti,neutral,1,0,0.0
io,neutral,1,0,0.0
si,neutral,1,0,0.0
na,neutral,1,0,0.0
lb,neutral,1,0,0.0
ew,neutral,1,0,0.0
be,neutral,1,0,0.0
we,neutral,1,0,0.0
ts,neutral,1,0,0.0
sc,german-dominant,1,0,0.0
hl,german-dominant,1,0,0.0
