2025-06-08 16:35:40,737 INFO {
    "alpha": 1.0,
    "attn_mask_ratio": 0.1,
    "blur_max_kernel": 5,
    "blur_max_sigma": 5,
    "blur_min_kernel": 3,
    "blur_min_sigma": 3,
    "cos_temp": 8,
    "data_path": "./data/iam/lines/",
    "dila_ero_iter": 1,
    "dila_ero_max_kernel": 2,
    "dpi_max_factor": 1.5,
    "dpi_min_factor": 0.5,
    "elastic_distortion_max_alpha": 1,
    "elastic_distortion_max_kernel_size": 3,
    "elastic_distortion_max_magnitude": 20,
    "elastic_distortion_max_sigma": 10,
    "elastic_distortion_min_alpha": 0.5,
    "elastic_distortion_min_kernel_size": 3,
    "elastic_distortion_min_sigma": 1,
    "ema_decay": 0.9999,
    "eval_iter": 1000,
    "exp_name": "iam",
    "img_size": [
        512,
        64
    ],
    "jitter_brightness": 0.4,
    "jitter_contrast": 0.4,
    "jitter_hue": 0.2,
    "jitter_saturation": 0.4,
    "mask_ratio": 0.4,
    "max_lr": 0.001,
    "max_span_length": 8,
    "nb_cls": 80,
    "num_workers": 0,
    "out_dir": "./output",
    "patch_size": [
        4,
        32
    ],
    "perspective_high": 0.4,
    "perspective_low": 0.0,
    "print_iter": 100,
    "proba": 0.5,
    "proj": 8.0,
    "save_dir": "./output\\iam",
    "seed": 123,
    "sharpen_max_alpha": 1,
    "sharpen_max_strength": 1,
    "sharpen_min_alpha": 0,
    "sharpen_min_strength": 0,
    "spacing": 0,
    "subcommand": "IAM",
    "test_data_list": "./data/iam/test.ln",
    "total_iter": 100000,
    "train_bs": 128,
    "train_data_list": "./data/iam/train.ln",
    "use_wandb": false,
    "val_bs": 8,
    "val_data_list": "./data/iam/val.ln",
    "warm_up_iter": 1000,
    "weight_decay": 0.5,
    "zoom_max_h": 1,
    "zoom_max_w": 1,
    "zoom_min_h": 0.8,
    "zoom_min_w": 0.99
}
2025-06-08 16:35:41,168 INFO total_param is 53486096
2025-06-08 16:35:41,375 INFO Loading train loader...
2025-06-08 16:35:55,161 INFO Loading val loader...
2025-06-08 21:06:10,867 INFO {
    "alpha": 1.0,
    "attn_mask_ratio": 0.1,
    "blur_max_kernel": 5,
    "blur_max_sigma": 5,
    "blur_min_kernel": 3,
    "blur_min_sigma": 3,
    "cos_temp": 8,
    "data_path": "./data/iam/lines/",
    "dila_ero_iter": 1,
    "dila_ero_max_kernel": 2,
    "dpi_max_factor": 1.5,
    "dpi_min_factor": 0.5,
    "elastic_distortion_max_alpha": 1,
    "elastic_distortion_max_kernel_size": 3,
    "elastic_distortion_max_magnitude": 20,
    "elastic_distortion_max_sigma": 10,
    "elastic_distortion_min_alpha": 0.5,
    "elastic_distortion_min_kernel_size": 3,
    "elastic_distortion_min_sigma": 1,
    "ema_decay": 0.9999,
    "eval_iter": 1000,
    "exp_name": "iam",
    "img_size": [
        512,
        64
    ],
    "jitter_brightness": 0.4,
    "jitter_contrast": 0.4,
    "jitter_hue": 0.2,
    "jitter_saturation": 0.4,
    "mask_ratio": 0.4,
    "max_lr": 0.001,
    "max_span_length": 8,
    "nb_cls": 80,
    "num_workers": 0,
    "out_dir": "./output",
    "patch_size": [
        4,
        32
    ],
    "perspective_high": 0.4,
    "perspective_low": 0.0,
    "print_iter": 1,
    "proba": 0.5,
    "proj": 8.0,
    "save_dir": "./output\\iam",
    "seed": 123,
    "sharpen_max_alpha": 1,
    "sharpen_max_strength": 1,
    "sharpen_min_alpha": 0,
    "sharpen_min_strength": 0,
    "spacing": 0,
    "subcommand": "IAM",
    "test_data_list": "./data/iam/test.ln",
    "total_iter": 100000,
    "train_bs": 32,
    "train_data_list": "./data/iam/train.ln",
    "use_wandb": false,
    "val_bs": 8,
    "val_data_list": "./data/iam/val.ln",
    "warm_up_iter": 1000,
    "weight_decay": 0.5,
    "zoom_max_h": 1,
    "zoom_max_w": 1,
    "zoom_min_h": 0.8,
    "zoom_min_w": 0.99
}
2025-06-08 21:06:11,317 INFO total_param is 53486096
2025-06-08 21:06:11,519 INFO Loading train loader...
2025-06-08 21:06:25,986 INFO Loading val loader...
2025-06-08 21:06:29,923 INFO Iter : 1 	 LR : 0.00000 	 training loss : 414.30499 	 
2025-06-08 21:06:30,769 INFO Iter : 2 	 LR : 0.00000 	 training loss : 407.66815 	 
2025-06-08 21:06:31,622 INFO Iter : 3 	 LR : 0.00000 	 training loss : 396.54352 	 
2025-06-08 21:06:32,567 INFO Iter : 4 	 LR : 0.00000 	 training loss : 383.61450 	 
2025-06-08 21:06:33,413 INFO Iter : 5 	 LR : 0.00001 	 training loss : 363.49536 	 
2025-06-08 21:06:34,357 INFO Iter : 6 	 LR : 0.00001 	 training loss : 349.28479 	 
2025-06-08 21:06:35,293 INFO Iter : 7 	 LR : 0.00001 	 training loss : 328.82169 	 
2025-06-08 21:06:36,230 INFO Iter : 8 	 LR : 0.00001 	 training loss : 314.81177 	 
2025-06-08 21:06:37,117 INFO Iter : 9 	 LR : 0.00001 	 training loss : 312.71420 	 
2025-06-08 21:06:37,963 INFO Iter : 10 	 LR : 0.00001 	 training loss : 298.05310 	 
2025-06-08 21:06:38,788 INFO Iter : 11 	 LR : 0.00001 	 training loss : 297.04434 	 
2025-06-08 21:06:39,612 INFO Iter : 12 	 LR : 0.00001 	 training loss : 285.37708 	 
2025-06-08 21:06:40,663 INFO Iter : 13 	 LR : 0.00001 	 training loss : 280.04901 	 
2025-06-08 21:06:41,594 INFO Iter : 14 	 LR : 0.00001 	 training loss : 273.97931 	 
2025-06-08 21:06:42,491 INFO Iter : 15 	 LR : 0.00002 	 training loss : 264.04413 	 
2025-06-08 21:06:43,375 INFO Iter : 16 	 LR : 0.00002 	 training loss : 244.98553 	 
2025-06-08 21:06:44,274 INFO Iter : 17 	 LR : 0.00002 	 training loss : 236.24899 	 
2025-06-08 21:06:45,175 INFO Iter : 18 	 LR : 0.00002 	 training loss : 225.11601 	 
